19043,17033
19045,46427
19047,16484
19049,100536
19051,9111
19053,7606
19055,17458
19057,38823
19059,17767
19061,99308
19063,9347
19065,19445
19067,15604
19069,10002
19071,6566
19073,8752
19075,12333
19077,10612
19079,15008
19081,10754
19083,16828
19085,14569
19087,20447
19089,9489
19091,9599
19093,7022
19095,16658
19097,19455
19099,37810
19101,15694
19103,153056
19105,20653
19107,10004
19109,14799
19111,33533
19113,230419
19115,10814
19117,8618
19119,11930
19121,16629
19123,22160
19125,33414
19127,40096
19129,14398
19131,10597
19133,8742
19135,7593
19137,10333
19139,43143
19141,14150
19143,6198
19145,15190
19147,8986
19149,25692
19151,7065
19153,493022
19155,93669
19157,18631
19159,4639
19161,9799
19163,174609
19165,11735
19167,35885
19169,98649
19171,17081
19173,5862
19175,12132
19177,7222
19179,35326
19181,52591
19183,22542
19185,6512
19187,36996
19189,10662
19191,20045
19193,105912
19195,7436
19197,12916
20000,2938124
20001,12533
20003,7839
20005,16328
20007,4198
20009,25427
20011,14335
20013,9472
20015,67391
20017,2571
20019,3386
20021,19309
20023,2614
20025,1979
20027,8121
20029,9009
20031,8357
20033,1678
20035,34534
20037,38948
20039,2759
20041,18373
20043,7474
20045,118784
20047,2884
20049,2482
20051,28948
20053,6369
20055,38304
20057,34215
20059,26000
20061,36760
20063,2714
20065,2403
20067,7326
20069,5647
20071,1274
20073,5977
20075,2487
20077,5472
20079,33986
20081,3760
20083,1737
20085,13239
20087,18323
20089,2927
20091,611149
20093,3962
20095,7425
20097,2455
20099,20170
20101,1568
20103,81966
20105,2949
20107,9587
20109,2739
20111,32113
20113,30184
20115,11793
20117,10023
20119,4061
20121,34224
20123,5773
20125,31404
20127,5369
20129,2700
20131,10262
20133,15905
20135,2673
20137,5453
20139,15741
20141,3490
20143,5729
20145,6256
20147,4961
20149,25411
20151,9143
20153,2572
20155,61878
20157,4664
20159,9389
20161,72016
20163,4893
20165,2938
20167,6678
20169,54254
20171,5139
20173,524821
20175,21857
20177,178709
20179,2445
20181,5897
20183,3567
20185,4049
20187,2084
20189,5243
20191,22328
20193,7932
20195,2803
20197,6891
20199,1512
20201,5530
20203,2149
20205,8582
20207,3099
20209,168914
21000,4508155
21001,18883
21003,20574
21005,23883
21007,7713
21009,44505
21011,12716
21013,23984
21015,136468
21017,20286
21019,48206
21021,30753
21023,8400
21025,13693
21027,20447
21029,82366
21031,12316
21033,12635
21035,37596
21037,93127
21039,4807
21041,10825
21043,26609
21045,15918
21047,72762
21049,37035
21051,20312
21053,9232
21055,9003
21057,5856
21059,103405
21061,12152
21063,7334
21065,14161
21067,322627
21069,15101
21071,35798
21073,51594
21075,6511
21077,8673
21079,16963
21081,25015
21083,36528
21085,26460
21087,11132
21089,35877
21091,9101
21093,110829
21095,26754
21097,18719
21099,19290
21101,44678
21103,15698
21105,4529
21107,45369
21109,12963
21111,782845
21113,53024
21115,22648
21117,169271
21119,14158
21121,30185
21123,14873
21125,62727
21127,16303
21129,7368
21131,10468
21133,21465
21135,13087
21137,24255
21139,8871
21141,27513
21143,8679
21145,67917
21147,16840
21149,9136
21151,92993
21153,11603
21155,19592
21157,31691
21159,11253
21161,17133
21163,30026
21165,6146
21167,22655
21169,10288
21171,11319
21173,28112
21175,13735
21177,30894
21179,46779
21181,7541
21183,23747
21185,67693
21187,11301
21189,4032
21191,14648
21193,28367
21195,58441
21197,13093
21199,65116
21201,2184
21203,16059
21205,24722
21207,18002
21209,57531
21211,48244
21213,19633
21215,19511
21217,26000
21219,12288
21221,14078
21223,8460
21225,13652
21227,135028
21229,12043
21231,19539
21233,13018
21235,36698
21237,6559
21239,26904
22000,4652022
22001,57478
22003,22687
22005,126978
22007,20963
22009,39646
22011,36605
22013,12913
22015,128721
22017,236945
22019,216481
22021,9615
22023,5623
22025,8844
22027,14103
22029,18569
22031,26845
22033,455899
22035,7397
22037,19456
22039,32297
22041,19713
22043,22149
22045,70055
22047,30064
22049,14998
22051,439725
22053,32210
22055,242145
22057,97454
22059,14823
22061,48309
22063,142834
22065,9927
22067,25465
22069,37387
22071,383241
22073,160111
22075,23460
22077,20673
22079,129651
22081,7582
22083,20026
22085,22099
22087,43856
22089,52513
22091,10898
22093,20120
22095,42366
22097,82314
22099,51634
22101,49142
22103,265000
22105,133654
22107,4107
22109,109405
22111,21092
22113,56956
22115,48622
22117,45357
22119,36883
22121,27262
22123,9696
22125,15259
22127,13720
23000,1364517
23001,111175
23003,67063
23005,303585
23007,29468
23009,55511
23011,124712
23013,40654
23015,35263
23017,57898
23019,152169
23021,16808
23023,36732
23025,50473
23027,39658
23029,31088
23031,212260
24000,6173689
24001,67960
24003,589106
24005,853387
24009,92915
24011,33270
24013,172941
24015,103800
24017,166741
24019,32530
24021,272786
24023,28798
24025,261230
24027,332814
24029,19120
24031,1060904
24033,965365
24035,50033
24037,113999
24039,24561
24041,37488
24043,154697
24045,103565
24047,52522
24510,583157
25000,6997713
25001,228012
25003,128619
25005,576772
25007,20593
25009,807791
25011,70923
25013,464311
25015,146616
25017,1628235
25019,14237
25021,724554
25023,530200
25025,797181
25027,859669
26000,10070627
26001,10192
26003,8842
26005,120669
26007,28886
26009,23458
26011,15001
26013,8142
26015,62598
26017,103742
26019,17990
26021,154197
26023,44884
26025,134200
26027,51559
26029,26041
26031,25587
26033,36787
26035,30843
26037,79170
26039,12992
26041,36870
26043,25904
26045,109175
26047,34113
26049,405777
